,Vacancy,Salary,Salary_min,Salary_max,Employer,Location,Description,Url,Site
77,Аналитик данных в Excel (технический помощник руководителя),,NaN,NaN,САТУРН - строительные материалы,"Москва, Румянцево","2.Руководить отделом аналитики. 3.Формирование аналитической инфраструктуры. 4.Создание отчетов для продуктовых отделов по запросу. 5.Выявление закономерностей в разнообразных источниках данных и...2.Опыт работы в качестве главного аналитика, руководителя отдела аналитики. 3.Опыт работы с базами данных в качестве аналитика/разработчика от 3...",https://spb.hh.ru/vacancy/45492137?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
78,Аналитик / Power BI / Power Query / DAX,,NaN,NaN,Sinergium,Билайн,Антифрод аналитик,https://spb.hh.ru/vacancy/45701318?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
79,Младший аналитик,,NaN,NaN,ООО Крит,Брянск,"Анализ и оценка выявленных инцидентов и аномалий, сбор сводных данных. Формирование аналитических отчетов, ведение статистики. Накапливание и использование знаний о...Опыт подготовки регулярных аналитических материалов, понимание ценности описательной статистики и умение делать выводы на данных. Опыт использования аналитических данных в...",https://spb.hh.ru/vacancy/45576351?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
80,Аналитик баз данных / Data Engineer,По договорённости,NaN,NaN,BELUGA GROUP,"Москва, Кропоткинская и ещё 2 станции","Анализ требований, проектирование, разработка и тестирование DWH, процедур загрузки данных, витрин данных. Оптимизация базы…Опыт разработки DWH, потоков данных и процедур загрузки не менее 3-х лет, на стэке MS SQL Server. Опыт анализа требований…",https://www.superjob.ru//vakansii/analitik-baz-dannyh-37980439.html,superjob.ru
81,Аналитик баз данных,По договорённости,NaN,NaN,"Фирма ""Веллтекс Воронеж""",Воронеж,"Ведение аналитической базы данных Дивизиона Компании ( T-SQL , Excel) - Пополнение данными, отслеживание ссылочной целостности…Знание принципов работы совершенных баз данных: теория БД, SQL (предпочтительно T-SQL с пониманием технических основ функционирования…",https://www.superjob.ru//vakansii/analitik-baz-dannyh-38043444.html,superjob.ru
82,Старший аналитик данных,По договорённости,NaN,NaN,Сбербанк России,Казань,"Функционал:анализ данных розничного блока;валидация бизнес-моделей;разработка процедур автоматизации аудитаЗнание Python (Pandas, Numpy, matplotlib, seaborn);владение SQL;профессиональный уровень знаний Excel; Будет премиуществом…",https://www.superjob.ru//vakansii/starshij-analitik-dannyh-37998660.html,superjob.ru
83,Аналитик баз данных,80 000 — 100 000 руб.,80000,100000,Консалтинговая группа ЕРМАК,"Москва, Площадь Ильича, Римская","Сбор и анализ данных о существующих и потенциальных Клиентах, как из собственной CRM, так и из внешних источников. Анализ…Высшее образование. Опыт работы от 3 лет. Опыт в сборе, систематизации данных. Профессиональное владение программой Excel…",https://www.superjob.ru//vakansii/analitik-baz-dannyh-38016321.html,superjob.ru
84,Менеджер проекта (аналитик баз данных),По договорённости,NaN,NaN,Российский институт радионавигации и времени (РИРВ),"Санкт-Петербург, Пролетарская",Сопровождение процесса реализации портфеля проектов. Ведение реестра договоров и проектов. Подготовка отчетов (сбор исходных…Работа с аналогичным функционалом от 2-х лет. Высшее инженерное образование,https://www.superjob.ru//vakansii/menedzher-proekta-38143339.html,superjob.ru
85,Аналитик анализа и моделирования данных,По договорённости,NaN,NaN,Сбербанк России,Самара,"Анализ и контроль выполнения ключевых показателей работы контактного центра Банка, подготовка аналитических заключений;-…Образование - Высшее (Экономика/Финансы/ИТ)- Опыт аналитической работы не менее 1 года;- Навыки обработки больших массивов…",https://www.superjob.ru//vakansii/analitik-analiza-i-modelirovaniya-dannyh-37968973.html,superjob.ru
86,Аналитик данных,от 52 000 руб.,52000,NaN,Центральная медико-санитарная часть МВД России,"Москва, Октябрьское поле",Направление 1: Организация аналитического и методического обеспечения проведения исследовательских работ по направлению разработки…Образование: высшее. Возраст до 35 лет (если ранее не проходили службу в подразделениях МВД России). Только гражданин Российской…,https://www.superjob.ru//vakansii/analitik-dannyh-27392339.html,superjob.ru
